mse:0.07460970431566238, mae:0.1978057324886322
mse:0.33373451232910156, mae:0.3183372914791107
mse:0.34650909900665283, mae:0.2881908118724823
mse:0.5159223079681396, mae:0.47606146335601807
mse:0.3679587244987488, mae:0.295106440782547
mse:0.4566514492034912, mae:0.29649558663368225
mse:0.4612419009208679, mae:0.30463603138923645
mse:0.3641609847545624, mae:0.30017098784446716
mse:0.37249359488487244, mae:0.3595549762248993
mse:0.33475372195243835, mae:0.2956465184688568
mse:0.3861594498157501, mae:0.28783559799194336
mse:0.3255402147769928, mae:0.34110432863235474
mse:0.3536503314971924, mae:0.28355342149734497
mse:0.38894906640052795, mae:0.29302582144737244
mse:0.40141400694847107, mae:0.2837376296520233
mse:0.38016659021377563, mae:0.29726675152778625
mse:0.40037503838539124, mae:0.2938699722290039
mse:0.3530820608139038, mae:0.2920425236225128
mse:0.31620875000953674, mae:0.2905011475086212
mse:1.6975234746932983, mae:0.19277697801589966
mse:0.37620091438293457, mae:0.29580262303352356
mse:0.39509227871894836, mae:0.285880982875824
mse:0.33766108751296997, mae:0.2795581817626953
mse:0.30833569169044495, mae:0.3503793478012085
mse:0.41263294219970703, mae:0.3194859027862549
mse:0.5578942894935608, mae:0.31857985258102417
mse:0.30567023158073425, mae:0.2859223186969757
mse:0.3037509322166443, mae:0.27486252784729004
mse:0.3478492498397827, mae:0.3505747318267822
mse:0.3201506435871124, mae:0.3598756790161133
mse:0.7146841287612915, mae:0.2151007056236267
mse:1.0677869319915771, mae:0.1742429882287979
mse:0.43920353055000305, mae:0.3363874554634094
mse:0.5988313555717468, mae:0.20077577233314514
mse:0.7649242877960205, mae:0.17756053805351257
mse:0.11438093334436417, mae:0.166261225938797
mse:0.12259399890899658, mae:0.18581214547157288
mse:0.43754950165748596, mae:0.3526722192764282
mse:0.31013911962509155, mae:0.2803877294063568
mse:0.3829207420349121, mae:0.2966419458389282
mse:0.3080592751502991, mae:0.2830926477909088
mse:0.391055703163147, mae:0.301250159740448
mse:0.6275458335876465, mae:0.6200374364852905
mse:0.3484756350517273, mae:0.2807769179344177
mse:0.4394192695617676, mae:0.3171071410179138
mse:0.42477554082870483, mae:0.2986067235469818
mse:0.2904922366142273, mae:0.2716796398162842
mse:0.6313320398330688, mae:0.6215219497680664
mse:0.42311739921569824, mae:0.36630672216415405
mse:0.4006636142730713, mae:0.3936949074268341
mse:0.417315810918808, mae:0.3523704707622528
mse:0.392729789018631, mae:0.3826410472393036
mse:0.44679513573646545, mae:0.30657652020454407
mse:0.3968217372894287, mae:0.37438106536865234
mse:0.32196488976478577, mae:0.3505343496799469
mse:0.3285790681838989, mae:0.35733339190483093
mse:0.4481092393398285, mae:0.3493557870388031
mse:0.7117595672607422, mae:0.18207544088363647
mse:0.2983158826828003, mae:0.28321537375450134
mse:0.41752058267593384, mae:0.42926499247550964
mse:0.38526785373687744, mae:0.365395188331604
mse:0.3590116798877716, mae:0.2945791184902191
mse:0.31549155712127686, mae:0.2868393063545227
mse:0.318626344203949, mae:0.34514984488487244
mse:0.46930456161499023, mae:0.3058907985687256
mse:0.3578628897666931, mae:0.35454896092414856
mse:0.3631408214569092, mae:0.28847596049308777
mse:0.360015332698822, mae:0.2857123017311096
mse:0.3040277361869812, mae:0.2804374098777771
mse:0.4770055115222931, mae:0.29941070079803467
mse:0.33560672402381897, mae:0.2895779311656952
mse:0.3864838182926178, mae:0.2962542474269867
mse:0.3430246412754059, mae:0.2822047173976898
mse:0.71458500623703, mae:0.18166689574718475
mse:0.07816245406866074, mae:0.15485450625419617
mse:0.4839008152484894, mae:0.19129948318004608
mse:0.6152256727218628, mae:0.4300907552242279
mse:0.5363190174102783, mae:0.3842679262161255
mse:0.9937179684638977, mae:0.7225140929222107
mse:0.34041932225227356, mae:0.35118526220321655
mse:0.6888443231582642, mae:0.5470741391181946
mse:1.507535457611084, mae:0.7629252672195435
mse:0.6022436618804932, mae:0.4391285181045532
mse:0.6140372157096863, mae:0.4399340748786926
mse:0.8216707706451416, mae:0.4669577181339264
mse:0.572831392288208, mae:0.3889789879322052
mse:0.524760901927948, mae:0.3941009044647217
mse:0.7319911122322083, mae:0.5133849382400513
mse:0.4966574013233185, mae:0.37633612751960754
mse:0.8455706238746643, mae:0.5107248425483704
mse:0.5946332812309265, mae:0.4820772707462311
mse:0.9452003836631775, mae:0.5042564868927002
mse:0.7233962416648865, mae:0.3841572701931
mse:0.7023093700408936, mae:0.40266039967536926
mse:0.7223183512687683, mae:0.41656962037086487
mse:0.6607874631881714, mae:0.38956111669540405
mse:0.5745264887809753, mae:0.3783000409603119
mse:0.7414296269416809, mae:0.43628552556037903
mse:0.8217228651046753, mae:0.443470299243927
mse:0.4320894777774811, mae:0.33628422021865845
mse:0.6774238348007202, mae:0.3760165870189667
mse:0.7206770777702332, mae:0.39862060546875
mse:0.5614493489265442, mae:0.33185073733329773
mse:0.7390943169593811, mae:0.392779141664505
mse:0.6509660482406616, mae:0.47281625866889954
mse:1.1828159093856812, mae:0.6280759572982788
